ID,Name,Category,URL
183,Shot_and_Fall_Backward,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Shot_and_Fall_Backward.gif
184,Shot_and_Fall_Forward,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Shot_and_Fall_Forward.gif
185,Shot_and_Slow_Fall_Backward,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Shot_and_Slow_Fall_Backward.gif
186,Strangled_and_Fall_Forward,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Strangled_and_Fall_Forward.gif
187,Knock_Down,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Knock_Down.gif
188,Fall_Dead_from_Abdominal_Injury,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Fall_Dead_from_Abdominal_Injury.gif
189,dying_backwards,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/dying_backwards.gif
190,Knock_Down_1,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Knock_Down_1.gif
191,Left_Jab_from_Guard,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Left_Jab_from_Guard.gif
192,Right_Jab_from_Guard,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Right_Jab_from_Guard.gif
193,Left_Hook_from_Guard,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Left_Hook_from_Guard.gif
194,Right_Uppercut_from_Guard,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Right_Uppercut_from_Guard.gif
195,Right_Upper_Hook_from_Guard,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Right_Upper_Hook_from_Guard.gif
196,Left_Uppercut_from_Guard,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Left_Uppercut_from_Guard.gif
197,Left_Short_Hook_from_Guard,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Left_Short_Hook_from_Guard.gif
198,Punch_Combo,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Punch_Combo.gif
199,Weapon_Combo,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Weapon_Combo.gif
200,Punch_Combo_1,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Punch_Combo_1.gif
201,Punch_Combo_2,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Punch_Combo_2.gif
202,Weapon_Combo_1,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Weapon_Combo_1.gif
203,Punch_Combo_3,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Punch_Combo_3.gif
204,Punch_Combo_4,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Punch_Combo_4.gif
205,Punch_Combo_5,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Punch_Combo_5.gif
206,Spartan_Kick,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Spartan_Kick.gif
207,Roundhouse_Kick,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Roundhouse_Kick.gif
208,Lunge_Roundhouse_Kick,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Lunge_Roundhouse_Kick.gif
209,Boxing_Guard_Right_Straight_Kick,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Boxing_Guard_Right_Straight_Kick.gif
210,Boxing_Guard_Prep_Straight_Punch,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Boxing_Guard_Prep_Straight_Punch.gif
211,Boxing_Guard_Step_Knee_Strike,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Boxing_Guard_Step_Knee_Strike.gif
212,Elbow_Strike,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Elbow_Strike.gif
213,Leg_Sweep,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Leg_Sweep.gif
